iucn_sciname,worms_valid_sciname,sis_taxon_id,iucn_assessment_id,aphia_id,aquax,notes
fusigobius signipinnis,fusigobius signipinnis,193116,2197373,278771,SDM,NA
amblyeleotris stenotaeniata,amblyeleotris stenotaeniata,193117,2197510,278983,No SDM,NA
eviota hoesei,eviota hoesei,193118,2197598,388749,SDM,NA
ctenogobiops tangaroai,ctenogobiops tangaroai,193119,2197706,278353,SDM,NA
gobiodon spilophthalmus,gobiodon spilophthalmus,193121,2197991,276934,No SDM,NA
callogobius sclateri,callogobius sclateri,193122,2198102,219410,SDM,NA
eviota zonura,eviota zonura,193123,2198332,278613,SDM,NA
vanderhorstia atriclypea,vanderhorstia atriclypea,193124,2198452,1495501,No SDM,NA
vanderhorstia nannai,vanderhorstia nannai,193126,2198574,277378,SDM,NA
sueviota lachneri,sueviota lachneri,193127,2198674,219572,SDM,NA
fusigobius maximus,fusigobius maximus,193128,2198765,278768,SDM,NA
valenciennea longipinnis,valenciennea longipinnis,193129,2198904,277032,SDM,NA
eviota smaragdus,eviota smaragdus,193130,2199074,278608,SDM,NA
eviota fasciola,eviota fasciola,193131,2199201,278587,SDM,NA
tomiyamichthys oni,tomiyamichthys oni,193132,2199356,283008,SDM,NA
trimma halonevum,trimma halonevum,193133,2199475,278501,SDM,NA
eviota epiphanes,eviota epiphanes,193134,2199546,278586,SDM,NA
